Realm Name,Export Time,PMktPrice Date,Reserved,Item ID,Item Name,AH MarketPrice Coppers,AH Quantity,AH MarketPrice,AH MinimumPrice,14-day Median Market Price,Median Market Price StdDev,14-day Todays PMktPrice,PMktPrice StdDev,Daily Price Change,Avg Daily Posted,Avg Estimated Daily Sold,Estimated Demand
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,754,Shortsword of Vengeance,1709986,4,170.9986,170.9986,200,26.61,159.88,17.69,-0.0247,10.5,0.07,0.0067
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,756,Tunnel Pick,500000000,1,50000,50000,50000,12500,42105.26,8077.48,-0.0328,1,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,765,Silverleaf,2143,278,0.2143,0.14,0.6,0.67,0.81,0.69,0.0212,419.57,151.93,0.3621
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,767,Long Bo Staff,0,0,0,0,2216.77,729.9,2496.66,566.88,0.0466,1.21,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,768,Lumberjack Axe,0,0,0,0,15,0,15,0,0,0.14,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,769,Chunk of Boar Meat,0,0,0,0,0.75,1.71,1.74,1.63,0.0357,17.07,8.86,0.519
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,774,Malachite,6930,18,0.693,0.693,0.53,0.44,0.77,0.44,0.0352,40.93,7.64,0.1867
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,776,Vendetta,350176695,3,35017.6695,35017.6695,26198.13,47.14,26123.72,30.52,-0.0003,4.5,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,783,Light Hide,3563,9,0.3563,0.3563,0.45,0.87,0.15,0.32,-0.15,26.43,3.93,0.1487
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,785,Mageroyal,12500,94,1.25,1.1859,0.92,1,1.26,0.98,0.0024,411.07,152.57,0.3712
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,789,Stout Battlehammer,0,0,0,0,13.99,8.86,24.78,6.64,0.1012,5.14,0.29,0.0564
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,790,Forester's Axe,330030,4,33.003,33.003,45,5.5,37.86,3.45,-0.023,4.14,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,791,Gnarled Ash Staff,0,0,0,0,1547.41,257.57,1030.9,193.08,-0.0336,1,0.07,0.07
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,792,Knitted Sandals,0,0,0,0,821.87,109.45,953.33,23.4,0.0324,0.71,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,804,Large Blue Sack,91020,1,9.102,9.102,6.24,1.78,8.51,1.29,0.0251,1.64,0.07,0.0427
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,805,Small Red Pouch,0,0,0,0,0.3,2.01,1.54,1.98,0.0761,3.86,0.14,0.0363
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,809,Bloodrazor,0,0,0,0,15528.57,456.74,15327.76,413.77,0.0001,1.57,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,810,Hammer of the Northern Wind,0,0,0,0,3024.92,715.16,2457.05,491.71,-0.0342,3.93,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,812,Glowing Brightwood Staff,15000000,1,1500,1500,5512.21,10570.85,1125,6662.52,-0.1671,0.64,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,814,Flask of Oil,23199,2,2.3199,2.3199,2.12,0.7,2.81,0.49,0.058,4.79,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,818,Tigerseye,4000,6,0.4,0.4,0.25,0.74,1.32,0.54,0.1724,38.57,9.64,0.2499
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,821,Riverpaw Leather Vest,0,0,0,0,2439.36,1311.57,1806.36,991.74,-0.0613,3.21,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,828,Small Blue Pouch,1073,3,0.1073,0.1073,0.09,0.55,0.51,0.53,0.1419,2,0.07,0.035
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,832,Silver Defias Belt,0,0,0,0,13500,397.82,13083.26,295.44,-0.0047,2,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,833,Lifestone,49950000,1,4995,4995,2894.92,3817.52,5017.15,4136.27,0.0519,0.79,0.07,0.0886
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,837,Heavy Weave Armor,0,0,0,0,5762.91,69.26,5820.42,68.45,0.0012,0.43,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,856,Blue Leather Bag,0,0,0,0,0.81,0,1.08,0,1.0538,0.14,0.14,1
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,857,Large Red Sack,149500,1,14.95,14.95,43.92,53.46,3.75,39.69,-0.1486,1.36,0.07,0.0515
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,858,Lesser Healing Potion,126,78,0.0126,0.0126,0.01,0,0.01,0,0.0138,73.57,2.14,0.0291
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,862,Runed Ring,18281243,3,1828.1243,1828.1243,1875,44.94,1789.03,15.49,-0.0046,7.43,0.07,0.0094
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,863,Gloom Reaper,0,0,0,0,32.75,10.22,46.8,7,0.0542,4.57,0.07,0.0153
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,864,Knightly Longsword,557998,3,55.7998,55.7998,71.61,20.27,56.27,16.38,-0.0071,5.36,0.07,0.0131
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,865,Leaden Mace,1500012,3,150.0012,150.0012,150,13.2,153.52,9.31,0.0101,3.5,0.07,0.02
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,866,Monk's Staff,1908469,1,190.8469,190.8469,109.88,13.69,116.58,13.49,0.0032,5.07,0.21,0.0414
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,867,Gloves of Holy Might,244443185,1,24444.3185,24444.3185,33768.39,4367.25,26856.21,2816.2,-0.021,2.57,0.07,0.0272
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,868,Ardent Custodian,0,0,0,0,3133.3,487.21,2464.42,362.58,-0.02,3.36,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,869,Dazzling Longsword,0,0,0,0,8235,0,8235,0,0,0.5,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,870,Fiery War Axe,0,0,0,0,15173.17,3129.35,11266.58,2262.62,-0.0206,3.79,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,871,Flurry Axe,53504628,1,5350.4628,5350.4628,4456.82,560.83,4378.72,579.35,-0.0004,1.93,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,873,Staff of Jordan,54139992,2,5413.9992,5413.9992,5417,158.9,5305.84,68.82,-0.0048,7.36,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,890,Twisted Chanter's Staff,7072114,2,707.2114,707.2114,721.54,19.43,740.32,14.11,0.0043,3.14,0.07,0.0223
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,892,Gnoll Casting Gloves,0,0,0,0,104924.99,0,104924.99,0,0,0.43,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,897,Madwolf Bracers,0,0,0,0,24473.94,427.74,24609.32,76.82,0.0031,0.43,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,899,Venom Web Fang,0,0,0,0,148000,0,148000,0,0,0.79,0,0
